"","N_iter","ARI","Frobenius_norm","Simulation","Inference","N_seeds","Model"
"214",1000,1,106.266666666667,17,"Consensus",30,"Consensus (1000, 30)"
"215",10000,1,117.266666666667,17,"Consensus",30,"Consensus (10000, 30)"
"216",1,0.726434291156455,9597.32,17,"Consensus",50,"Consensus (1, 50)"
"217",10,1,1434.52,17,"Consensus",50,"Consensus (10, 50)"
"218",100,1,106.44,17,"Consensus",50,"Consensus (100, 50)"
"219",1000,1,119.28,17,"Consensus",50,"Consensus (1000, 50)"
"220",10000,1,117.4,17,"Consensus",50,"Consensus (10000, 50)"
"221",1,0.814108281771702,9781.72,17,"Consensus",100,"Consensus (1, 100)"
"222",10,1,1611.26,17,"Consensus",100,"Consensus (10, 100)"
"223",100,1,113.78,17,"Consensus",100,"Consensus (100, 100)"
"224",1000,1,114.08,17,"Consensus",100,"Consensus (1000, 100)"
"22510",10000,1,101.44,17,"Consensus",100,"Consensus (10000, 100)"
"226",1,0.68347820413479,5176,18,"Consensus",1,"Consensus (1, 1)"
"227",10,1,0,18,"Consensus",1,"Consensus (10, 1)"
"228",100,1,0,18,"Consensus",1,"Consensus (100, 1)"
"229",1000,1,0,18,"Consensus",1,"Consensus (1000, 1)"
"230",10000,0.998885536175994,20,18,"Consensus",1,"Consensus (10000, 1)"
"231",1,0.677293032859333,8671.8,18,"Consensus",10,"Consensus (1, 10)"
"232",10,1,565.6,18,"Consensus",10,"Consensus (10, 10)"
"233",100,1,22.6,18,"Consensus",10,"Consensus (100, 10)"
"234",1000,1,40,18,"Consensus",10,"Consensus (1000, 10)"
"235",10000,1,2,18,"Consensus",10,"Consensus (10000, 10)"
"236",1,0.841559794567903,8324.93333333333,18,"Consensus",30,"Consensus (1, 30)"
"237",10,1,390.400000000001,18,"Consensus",30,"Consensus (10, 30)"
"238",100,1,16,18,"Consensus",30,"Consensus (100, 30)"
"239",1000,1,22.2666666666667,18,"Consensus",30,"Consensus (1000, 30)"
"240",10000,1,4.8,18,"Consensus",30,"Consensus (10000, 30)"
"241",1,0.828129072249185,8424.88,18,"Consensus",50,"Consensus (1, 50)"
"242",10,1,748.28,18,"Consensus",50,"Consensus (10, 50)"
"243",100,1,12.08,18,"Consensus",50,"Consensus (100, 50)"
"244",1000,1,18.32,18,"Consensus",50,"Consensus (1000, 50)"
"245",10000,1,8.79999999999996,18,"Consensus",50,"Consensus (10000, 50)"
"246",1,0.868947774589613,8431.12,18,"Consensus",100,"Consensus (1, 100)"
"247",10,1,849.360000000001,18,"Consensus",100,"Consensus (10, 100)"
"248",100,1,13.56,18,"Consensus",100,"Consensus (100, 100)"
"249",1000,1,17.36,18,"Consensus",100,"Consensus (1000, 100)"
"250",10000,1,16.6600000000001,18,"Consensus",100,"Consensus (10000, 100)"
"251",1,0.404661831735389,9730,19,"Consensus",1,"Consensus (1, 1)"
"252",10,0.864865104776479,2448,19,"Consensus",1,"Consensus (10, 1)"
"253",100,1,0,19,"Consensus",1,"Consensus (100, 1)"
"254",1000,1,0,19,"Consensus",1,"Consensus (1000, 1)"
"255",10000,1,0,19,"Consensus",1,"Consensus (10000, 1)"
"256",1,0.333811620952919,11199.6,19,"Consensus",10,"Consensus (1, 10)"
"257",10,1,2449.8,19,"Consensus",10,"Consensus (10, 10)"
"258",100,1,22.6,19,"Consensus",10,"Consensus (100, 10)"
"259",1000,1,33,19,"Consensus",10,"Consensus (1000, 10)"
"260",10000,1,0,19,"Consensus",10,"Consensus (10000, 10)"
"261",1,0.516248671646351,10845.8,19,"Consensus",30,"Consensus (1, 30)"
"262",10,1,2347,19,"Consensus",30,"Consensus (10, 30)"
